Entity,Code,Day,deaths_per_million,rolling_7d,year,month,quarter,is_weekend,daily_change,pct_change
United States,USA,2022-03-15,3.6047442,3.6257777428571427,2022,2022-03,2022Q1,False,-0.07194420000000035,-0.019567663117712186
United States,USA,2022-03-16,3.4589036,3.602493457142857,2022,2022-03,2022Q1,False,-0.14584059999999965,-0.0404579609282677
United States,USA,2022-03-17,3.3164093,3.5729548571428573,2022,2022-03,2022Q1,False,-0.14249430000000007,-0.041196377950515894
United States,USA,2022-03-18,3.093396,3.486400614285714,2022,2022-03,2022Q1,False,-0.2230133000000003,-0.06724540906335064
United States,USA,2022-03-19,2.999701,3.3927953285714287,2022,2022-03,2022Q1,True,-0.09369499999999986,-0.030288718288896677
United States,USA,2022-03-20,2.7727835,3.2746608571428575,2022,2022-03,2022Q1,True,-0.22691749999999988,-0.0756467061217101
United States,USA,2022-03-21,2.6234574,3.1241992857142855,2022,2022-03,2022Q1,False,-0.14932610000000013,-0.0538542226610913
United States,USA,2022-03-22,2.6014977,2.9808783571428568,2022,2022-03,2022Q1,False,-0.021959700000000026,-0.008370518995276965
United States,USA,2022-03-23,2.5598786,2.852446214285714,2022,2022-03,2022Q1,False,-0.04161910000000013,-0.01599813061529909
United States,USA,2022-03-24,2.3482287,2.7141347,2022,2022-03,2022Q1,False,-0.21164989999999984,-0.08267966301214436
United States,USA,2022-03-25,2.2411487,2.592385085714286,2022,2022-03,2022Q1,False,-0.10707999999999984,-0.045600328451824046
United States,USA,2022-03-26,2.1696227,2.4738024714285713,2022,2022-03,2022Q1,True,-0.07152599999999998,-0.03191488364872885
United States,USA,2022-03-27,2.0876396,2.3759247714285716,2022,2022-03,2022Q1,True,-0.08198309999999998,-0.03778680044230731
United States,USA,2022-03-28,2.079274,2.2981842857142856,2022,2022-03,2022Q1,False,-0.008365600000000306,-0.004007205075052367
United States,USA,2022-03-29,2.0562685,2.2202944,2022,2022-03,2022Q1,False,-0.023005500000000012,-0.011064198369238554
United States,USA,2022-03-30,2.0131857,2.1421954142857143,2022,2022-03,2022Q1,False,-0.043082799999999644,-0.020951933076832963
United States,USA,2022-03-31,1.927438,2.082082457142857,2022,2022-03,2022Q1,False,-0.0857477000000002,-0.04259304047311696
United States,USA,2022-04-01,1.8977401,2.0330240857142856,2022,2022-04,2022Q2,False,-0.029697899999999944,-0.015407966430048603
United States,USA,2022-04-02,1.8178484,1.9827706142857144,2022,2022-04,2022Q2,True,-0.07989170000000012,-0.04209833580478173
United States,USA,2022-04-03,1.7450676,1.933831757142857,2022,2022-04,2022Q2,True,-0.07278079999999987,-0.040036781945072986
